muni,y-2000,y-2001,y-2002,y-2003,y-2004,y-2005,y-2006,y-2007,y-2008,y-2009,y-2010,y-2011
København,167582,174512,183693,189398,198916,208489,218873,224623,230387,236284,251724,259116
Frederiksberg,206419,215885,223746,228224,241659,255182,270310,273924,275338,282617,308059,315615
Dragør,279889,294639,306528,321062,342024,363779,379897,400317,397345,391862,432249,465144
Tårnby,225348,234372,245716,256772,272101,286784,297413,306494,312601,317049,337398,346106
Albertslund,216014,223339,232209,237632,249318,256712,266283,274551,282045,286768,301876,297180
Ballerup,228735,235149,247809,253654,267206,279401,288606,298506,303853,302668,322367,330229
Brøndby,213575,221537,230769,237112,248433,259122,267375,274409,281069,282293,297142,302249
Gentofte,311574,327473,336542,349634,376022,442296,470260,485497,453944,454113,524988,552495
Gladsaxe,217372,226783,239038,246825,260393,280164,290227,299248,305391,306238,331940,341135
Glostrup,214917,223038,232035,240210,254597,266586,275899,286672,291809,295088,315607,317224
Herlev,219253,227209,238955,246867,257640,271574,282746,293157,301565,304985,324355,329579
Hvidovre,207566,216339,227061,235448,248811,261255,271101,284683,291181,291777,311664,316212
Høje-Taastrup,229571,239896,248683,257287,269818,283934,292154,302070,308828,311031,326998,331453
Ishøj,216058,225280,235089,242529,252936,263290,271712,281845,286265,284053,300414,304391
Lyngby-Taarbæk,258654,267670,279092,287542,305537,332514,345314,362911,360790,355568,402716,415465
Rødovre,205170,213634,222037,231299,243121,256334,266008,278864,287053,285469,302485,309350
Vallensbæk,278933,287543,298783,311445,325690,343989,357777,366864,367450,367076,394341,397110
Allerød,301960,315269,321918,342352,364817,392615,406403,425536,418768,421730,469343,484360
Egedal,287423,301903,312598,321540,341189,361855,376674,393016,394850,390573,427448,432821
Fredensborg,272151,279311,294110,303809,320229,343359,358039,372916,369066,364717,401391,406392
Frederikssund,238069,250160,260842,269926,287205,303283,317603,329963,327456,327212,347328,351049
Furesø,294848,305529,316327,324131,340387,364307,383014,402633,397326,395903,440727,449593
Gribskov,236410,248664,259919,270664,287923,309528,325549,341801,334402,327980,356828,355403
Halsnæs,215291,222842,232997,239650,255941,273720,284640,296249,298949,293946,311813,313564
Helsingør,229239,236109,264597,259255,274002,291614,302442,325397,316849,313118,340921,347948
Hillerød,250458,261551,276193,282512,299545,320767,332919,346385,347648,345843,377171,382682
Hørsholm,355100,358251,366146,368652,396987,429079,461368,500742,450450,432657,515689,532383
Rudersdal,341676,347631,368425,374778,406101,440305,476575,492663,462315,441717,524704,541745
Bornholm,192166,199772,207815,213548,226516,236336,246127,251263,254675,262780,282574,282403
Greve,273234,282976,295215,302681,319414,337409,349493,372896,368092,356411,385905,395485
Køge,236608,244189,255455,263168,280129,293433,305606,317631,318713,318785,341376,344258
Lejre,268181,280602,290792,300811,319766,337783,350530,363636,361733,358534,392240,390144
Roskilde,241331,252240,264268,272162,288783,304048,317808,333518,332056,328559,355564,361253
Solrød,286689,297483,311717,321817,337782,357440,372666,397066,385848,367356,404307,424884
Faxe,217848,228889,238130,245511,260106,273020,284066,300574,299243,305090,325639,324175
Guldborgsund,195024,203356,211010,217836,230545,241836,254468,259953,260443,265784,282939,276234
Holbæk,218229,227026,238345,246284,261233,276822,286776,298781,298682,306944,327552,326379
Kalundborg,212012,220468,228962,235900,251176,263193,275743,284137,276261,289664,309975,310612
Lolland,182904,190441,199310,205558,216564,224641,232444,236803,241209,249305,263129,264442
Næstved,210917,219923,229735,236720,251101,263180,273634,286162,282642,292655,311342,315197
Odsherred,201306,208557,219186,226136,238780,253234,263203,270307,267252,272576,289186,290969
Ringsted,220723,229506,238502,247406,264841,278998,291632,306856,306632,310618,332094,331996
Slagelse,202210,209968,221107,226310,239960,251536,261565,274837,272606,282246,297844,301669
Sorø,216666,227302,236352,243444,260579,276344,287642,295482,289442,306978,323046,328762
Stevns,232836,242176,249546,257843,273442,289594,302231,315199,319179,315126,335786,338635
Vordingborg,201345,208878,217213,224545,235975,248712,258654,268091,262831,269858,289957,292123
Assens,215897,222041,230439,238416,253211,262861,276814,286680,281201,295900,315212,317554
Faaborg-Midtfyn,213537,219777,226452,234155,248917,257901,271518,280921,281597,289710,309291,313923
Kerteminde,223447,230230,241271,244562,262566,273516,283930,298504,293056,303721,322473,327283
Langeland,185783,190201,196786,200319,211593,222022,235754,245757,244379,248742,263226,264498
Middelfart,224629,232877,243871,249903,264265,277958,289960,303916,305837,315775,340575,338137
Nordfyns,214045,223056,230965,233913,250850,262727,277233,283156,279632,288532,311149,319232
Nyborg,205918,211862,220054,229271,241531,251031,265206,274597,278921,289097,305549,308921
Odense,191764,198223,206509,213048,224954,236110,245803,260554,261896,270355,288569,290468
Svendborg,199152,206953,217383,223594,236004,248171,260166,277038,282529,289915,306997,304993
Ærø,183624,193351,202977,208100,216339,222490,235410,253596,252279,255704,268571,267140
Billund,227243,237659,245979,251918,268349,276409,289008,304104,299497,306106,332356,339393
Esbjerg,214537,219811,229032,236013,251224,261197,274260,283919,287695,294529,314248,317893
Fanø,233840,236722,253178,261450,275346,289189,297245,319018,312109,325264,345693,354829
Fredericia,214259,221033,230653,237038,251015,263904,277302,287646,288272,296659,315309,312118
Haderslev,211296,218513,226044,231323,246940,258415,271224,280494,276256,290290,305338,305726
Kolding,219658,226707,235453,241899,259689,272375,285700,294317,299243,302362,325800,329758
Sønderborg,216678,223959,228304,229859,250265,258027,268614,275011,279141,265564,305746,307293
Tønder,214018,219579,224425,230330,245575,254825,269085,277279,265823,270978,289378,294356
Varde,224623,233109,240553,247839,264750,277485,290353,301725,292582,298854,318700,327177
Vejen,216827,226535,232822,239572,255122,268862,280681,287651,285546,290522,314863,316279
Vejle,222290,229640,239248,248205,265543,279347,294196,303912,304593,312299,337594,338427
Aabenraa,222163,226044,235725,240318,256119,264924,276102,284803,284409,285696,306546,309478
Favrskov,238841,248326,257965,264776,282654,295473,311831,324669,327101,334583,362286,367742
Hedensted,238152,246747,254799,260927,279203,296035,311731,321059,315664,324969,345169,344946
Horsens,212530,219669,227352,235263,248641,262208,276372,286775,282964,295957,314501,319332
Norddjurs,203583,210692,219003,225350,239533,250668,261168,272564,268753,273760,292050,297678
Odder,234860,241795,250962,260110,279048,293730,306035,316244,312754,327847,350937,356139
Randers,203557,210854,220078,226220,240793,251116,261765,272618,274924,281132,298951,302377
Samsø,183845,194872,197343,203116,217512,220846,234523,244235,244996,255217,262473,274206
Silkeborg,229436,236125,246370,256379,273270,287201,303494,314502,312482,324507,338313,336603
Skanderborg,248282,256150,268365,278900,297957,315573,334270,346719,345773,354795,383957,392573
Syddjurs,221890,229498,239996,246464,265276,275943,289766,313417,303055,306479,328073,335642
Aarhus,196551,203892,212477,220484,232677,249234,258908,269101,266781,274352,294484,298382
Herning,221927,230650,236026,242075,259313,273728,284805,295452,292371,299583,323643,335801
Holstebro,215191,228347,233215,237945,254135,268142,281690,297424,289432,296073,319491,326808
Ikast-Brande,223808,228318,235379,243652,258840,270751,285916,302775,293084,295977,318874,329056
Lemvig,217452,228309,234596,237171,255277,264235,284961,297240,285525,287406,321840,327739
Ringkøbing-Skjern,225924,240747,242994,247338,267590,281601,298390,304554,293489,302781,324390,331531
Skive,211555,224677,225909,230801,248393,258549,270139,280843,275936,287152,303670,309802
Struer,217776,225505,232757,236743,255186,268433,277972,287371,292568,295582,313193,318152
Viborg,216750,224889,232876,240640,254944,267471,280662,293450,291366,302073,325025,328504
Brønderslev,209774,218003,223301,227396,245508,258322,272273,277056,264402,279905,302252,308886
Frederikshavn,206415,214181,223481,230345,244225,254797,271315,277745,274536,284054,302257,308388
Hjørring,204867,215741,224599,228597,247689,256191,268125,274489,271641,279624,299641,310402
Jammerbugt,217035,223691,232349,238160,252260,265885,278989,285366,280070,291802,311480,319770
Læsø,186325,192455,202511,203171,220447,225532,244834,252256,241052,249649,272247,279407
Mariagerfjord,212125,219196,226603,233396,250131,261204,274694,285289,282122,287385,307967,313075
Morsø,202866,212526,218968,223409,247075,251162,259981,259530,260948,266354,280050,292459
Rebild,229752,239457,246372,253443,272555,285205,301724,309451,303732,318509,339371,352233
Thisted,210910,220919,225039,229807,247795,259257,273830,285305,277176,281455,300887,308770
Vesthimmerlands,203186,211044,221481,227682,242270,253755,263516,274684,267109,273544,289538,300209
Aalborg,201508,206622,214257,220388,234237,244089,253057,264633,266820,274968,292038,294763
