muni,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
København,269821,281997,291603,296729,303148,314005,331929,347166,361785,362487,372590,381234
Frederiksberg,342910,357920,362090,365066,375560,387568,412357,425905,434842,434340,455036,459713
Dragør,477178,499359,502696,510144,526085,536704,561322,582118,593575,593970,619174,653684
Tårnby,361089,373771,382802,390381,401140,412540,427438,444691,461652,461121,471829,480361
Albertslund,345664,356219,365774,368909,375315,380366,396970,410972,423600,418355,425400,422526
Ballerup,372454,381846,393946,396811,405791,415043,429183,447859,457902,454703,466764,471696
Brøndby,338017,350027,358742,363293,370063,381277,392785,408531,421225,416216,422641,426252
Gentofte,552208,582540,576477,584333,603537,669209,718411,747779,733946,708324,784888,798688
Gladsaxe,351116,367558,378839,384096,394867,410169,426049,446438,461229,460670,479259,484227
Glostrup,345122,358069,366729,373284,383427,396178,409289,427375,440961,437182,449998,453845
Herlev,348086,360190,372364,378983,386459,396605,412870,432953,448801,448347,460090,465881
Hvidovre,334529,348340,358714,364923,374786,386573,400369,421283,436290,435071,447908,449901
Høje-Taastrup,373225,389009,396353,400073,406449,421449,432671,452236,466288,464503,467350,471250
Ishøj,347968,361024,370717,375846,380685,391381,402914,418171,426922,421805,429899,430181
Lyngby-Taarbæk,432530,445888,453381,456582,469862,494929,515408,548573,551951,538603,587832,591506
Rødovre,329110,342438,349125,356001,363245,377041,390774,411913,431181,423651,433068,437157
Vallensbæk,463572,478277,486340,493547,496624,506875,524330,545881,553433,546586,562600,561601
Allerød,518038,540203,541895,561594,577407,606962,620918,657685,657743,655873,693916,702430
Egedal,485386,510006,515248,520374,531791,550947,573413,596157,607302,597059,622625,620835
Fredensborg,459207,472252,486060,489252,499957,523661,540053,571290,573514,560321,589492,594675
Frederikssund,391091,411471,420971,426863,438939,455112,475084,498947,501700,496831,503317,507171
Furesø,498165,516613,519831,528154,538463,556805,582937,606134,615966,610177,648370,645346
Gribskov,383297,401963,410459,418755,429034,450236,470399,499157,497190,486048,500345,503285
Halsnæs,344533,356884,367617,371500,384465,400129,416325,433732,442723,436551,443546,448726
Helsingør,375208,384762,425726,406284,416105,435609,451666,486979,481242,472309,492495,496192
Hillerød,417718,435115,450037,452066,464031,486508,502908,526172,535161,530131,552060,555569
Hørsholm,616673,619308,619784,610613,634489,670846,718554,776708,722810,689327,788319,774551
Rudersdal,596918,606452,618645,615929,642027,678981,727556,750030,726040,687009,781069,780593
Bornholm,304820,316551,323149,329425,339703,350129,365347,376858,387618,385590,398928,403539
Greve,449372,463201,472073,475079,484670,501939,517676,551382,552266,538402,555127,561099
Køge,384854,397342,407489,414756,426656,440139,457293,478710,486015,478971,489590,497193
Lejre,445889,463496,472495,480976,490594,509125,530029,550497,558684,553226,574928,575774
Roskilde,396617,413909,423328,429146,440680,456062,477713,499230,506962,502979,518478,521561
Solrød,477069,497143,508009,515143,522420,541992,562593,599758,595101,570774,594681,603572
Faxe,360575,377042,386958,393623,402388,418173,439114,462770,466943,458751,468795,471871
Guldborgsund,311899,324698,331462,337606,346077,358376,377239,390136,398402,395498,405126,399945
Holbæk,355723,370797,382965,391020,401802,418672,435741,455556,461574,458350,469290,471234
Kalundborg,344329,359261,367987,373199,384795,397089,416546,436702,434321,432948,443179,446400
Lolland,295436,307994,317114,322379,330590,341263,353361,365057,378485,378007,383328,388292
Næstved,341853,356920,366133,373018,383760,396859,413722,435662,437512,434398,443264,449100
Odsherred,323410,334811,345673,354464,362622,374557,390093,411316,407845,402492,410557,414712
Ringsted,364829,378201,385506,394529,408748,424221,445125,465615,473339,464181,475280,479772
Slagelse,326202,338360,349460,355430,365032,376104,392117,416392,417762,416359,422938,425964
Sorø,358080,374725,382658,389388,403597,419029,438590,455339,455962,461042,469038,475241
Stevns,381907,395222,403737,409843,419834,437714,453251,473881,487979,471000,479555,487571
Vordingborg,325448,336961,344770,352401,359369,373929,389771,405914,406890,403480,414570,419397
Assens,351781,364722,374069,384149,393773,405898,428126,446055,451140,448328,456301,462349
Faaborg-Midtfyn,346202,358216,365704,374043,384537,394524,416766,433156,443133,436015,445388,450154
Kerteminde,361701,374839,386707,389410,404156,418425,433590,457174,460802,455814,465770,471454
Langeland,294646,303632,311495,315012,324429,333273,355275,369590,383390,377976,381956,382711
Middelfart,367714,381775,393459,400264,409225,425012,445842,467600,482950,473895,489128,494750
Nordfyns,351500,366088,374965,376733,390764,404221,427890,442366,449732,440475,453731,462927
Nyborg,332215,344310,352900,364345,373571,383759,406717,419957,433401,434521,442270,446091
Odense,306939,318947,327686,335226,343295,354903,370471,386227,394309,394273,405002,406418
Svendborg,316355,329713,341167,348912,358560,369039,388700,408549,424429,416667,426773,430155
Ærø,282172,298145,310442,314015,318996,324525,344164,360802,368143,362028,368870,369598
Billund,371905,388627,397017,402864,412106,422351,441493,475158,478945,465306,487140,492694
Esbjerg,346043,354438,364672,373277,383380,393966,414668,433701,447392,438672,450696,457281
Fanø,358739,366649,383118,392209,398912,417205,431502,462001,467587,464955,481282,488691
Fredericia,344521,355588,365766,373422,382171,396770,418661,437451,449381,442611,453168,453640
Haderslev,342783,357567,364812,369705,382653,397655,420134,438435,443878,443954,446990,450806
Kolding,359756,372807,380821,387296,401557,415830,437858,456203,470367,453701,467523,474690
Sønderborg,344489,358001,360791,362888,380797,390389,408572,421696,435716,408418,442051,447490
Tønder,349636,359442,363350,368681,379748,392746,415659,434665,435546,422477,427753,437647
Varde,367695,382224,389901,398033,408789,425376,446238,471874,472918,466276,475158,482131
Vejen,356725,373513,378440,385479,395866,413900,433364,453524,465179,451202,466013,468676
Vejle,359754,373340,382952,391947,404619,420644,444563,465672,476611,465788,483601,485193
Aabenraa,354134,363512,373745,378179,390756,403056,421481,440505,448838,432899,445470,450282
Favrskov,395697,412591,420890,429129,440266,452982,479277,501639,515536,503392,520137,527255
Hedensted,387029,400481,406519,415862,428241,450412,474042,493088,501962,489399,500010,503507
Horsens,342964,356007,363785,373726,382755,396353,419592,439313,444778,438512,448978,453543
Norddjurs,329104,343279,350622,358918,368674,380778,396939,417600,421804,412709,422365,427363
Odder,381269,392324,400342,409695,423945,436205,457345,477200,487238,482470,493183,497501
Randers,326579,341666,351603,359653,370255,380978,398540,419959,428568,421453,431230,436198
Samsø,294752,315241,315905,321213,332470,334555,354163,377009,385763,387559,385962,396172
Silkeborg,375226,387403,397900,412889,425202,438900,464317,488717,497386,491517,482368,480532
Skanderborg,408477,424101,435447,447111,459550,478731,507194,526126,538608,529314,552465,556372
Syddjurs,361293,376753,384379,391801,406537,416595,438089,479782,470602,457861,471401,477501
Aarhus,317762,331428,338996,347151,354678,370175,386691,402150,407016,404046,420336,421068
Herning,361524,377088,381237,387538,399735,416956,435863,458294,463606,447309,462727,480470
Holstebro,349505,373681,377602,381437,393265,410699,431744,459351,457108,444778,458877,465579
Ikast-Brande,363055,372273,379090,388514,401262,411580,436143,471086,465813,446285,461134,474734
Lemvig,361814,380605,385520,386477,401999,412936,441979,468673,468838,452268,483917,483047
Ringkøbing-Skjern,370754,397483,396585,398813,415406,431386,459612,474748,476324,463366,473753,486235
Skive,345808,371418,366929,372067,386204,400142,417441,437121,439047,432697,439510,445703
Struer,354953,369146,375922,378825,393184,411085,427046,442407,458439,443774,451557,457240
Viborg,355948,371508,378564,388546,397464,412492,432685,457625,465907,457326,470361,474413
Brønderslev,342117,356715,361073,365327,379839,396926,418513,438142,437919,435571,448975,458318
Frederikshavn,329721,344919,356285,363128,372005,384873,409948,421327,427438,421715,434674,439448
Hjørring,334814,354259,363640,366983,382377,393054,410758,427716,436285,427725,441254,455072
Jammerbugt,357989,370139,378701,383595,392844,409715,429973,445268,452807,445713,456153,464948
Læsø,295409,305465,320207,316802,334808,339059,363753,375330,368991,364338,390258,395599
Mariagerfjord,346047,359734,366374,374204,387593,401583,422393,444431,451737,440946,452901,457926
Morsø,332169,349967,355461,359793,385356,389201,405159,414631,430076,415970,417808,429080
Rebild,386794,404644,409775,417964,431368,447184,473041,492648,503403,492697,501902,521744
Thisted,348357,365367,368036,371412,385756,403191,425265,448742,449477,433939,443097,452595
Vesthimmerlands,336765,350947,361714,369992,380398,395045,410713,433506,437970,425385,432566,443949
Aalborg,326198,335961,343044,349657,359474,370349,384357,403227,415114,410157,421282,423724
